example_id                                                          | status | run_time        |
------------------------------------------------------------------- | ------ | --------------- |
./spec/controllers/feeds/feed_favorites_controller_spec.rb[1:1:1:1] | passed | 0.20598 seconds |
./spec/controllers/feeds/feed_favorites_controller_spec.rb[1:1:1:2] | passed | 0.22168 seconds |
./spec/controllers/feeds/feed_favorites_controller_spec.rb[1:1:1:3] | passed | 0.34386 seconds |
./spec/controllers/feeds/feed_favorites_controller_spec.rb[1:1:2:1] | failed | 0.21233 seconds |
./spec/controllers/feeds/feed_favorites_controller_spec.rb[1:1:2:2] | failed | 0.30688 seconds |
./spec/controllers/feeds/feed_favorites_controller_spec.rb[1:1:2:3] | failed | 0.17997 seconds |
./spec/controllers/feeds/feed_favorites_controller_spec.rb[1:2:1]   | failed | 0.28103 seconds |
./spec/controllers/feeds/feed_favorites_controller_spec.rb[1:2:2]   | passed | 0.40814 seconds |
./spec/controllers/feeds/feed_favorites_controller_spec.rb[1:2:3]   | passed | 0.22265 seconds |
./spec/controllers/feeds_controller_spec.rb[1:1:1:1]                | failed | 0.06834 seconds |
./spec/controllers/feeds_controller_spec.rb[1:1:1:2]                | failed | 0.07472 seconds |
./spec/controllers/feeds_controller_spec.rb[1:1:1:3]                | failed | 0.06749 seconds |
./spec/controllers/feeds_controller_spec.rb[1:1:1:4]                | failed | 0.07928 seconds |
./spec/controllers/feeds_controller_spec.rb[1:1:1:5]                | failed | 0.08665 seconds |
./spec/controllers/feeds_controller_spec.rb[1:1:2:1]                | failed | 0.06976 seconds |
./spec/controllers/feeds_controller_spec.rb[1:1:2:2]                | failed | 0.07462 seconds |
./spec/controllers/feeds_controller_spec.rb[1:1:2:3]                | failed | 0.09498 seconds |
./spec/controllers/feeds_controller_spec.rb[1:2:1]                  | failed | 0.08693 seconds |
./spec/controllers/feeds_controller_spec.rb[1:2:2]                  | failed | 0.09634 seconds |
./spec/controllers/feeds_controller_spec.rb[1:2:3]                  | failed | 0.31417 seconds |
./spec/controllers/feeds_controller_spec.rb[1:3:1:1]                | failed | 0.07401 seconds |
./spec/controllers/feeds_controller_spec.rb[1:3:1:2]                | failed | 0.09814 seconds |
./spec/controllers/follow_relationships_controller_spec.rb[1:1:1:1] | passed | 0.13597 seconds |
./spec/controllers/follow_relationships_controller_spec.rb[1:1:1:2] | passed | 0.12853 seconds |
./spec/controllers/follow_relationships_controller_spec.rb[1:1:1:3] | passed | 0.13523 seconds |
./spec/controllers/follow_relationships_controller_spec.rb[1:2:1]   | passed | 0.22686 seconds |
./spec/controllers/follow_relationships_controller_spec.rb[1:2:2]   | passed | 0.1291 seconds  |
./spec/controllers/groups_controller_spec.rb[1:1:1]                 | passed | 0.14309 seconds |
./spec/controllers/groups_controller_spec.rb[1:1:2]                 | failed | 0.11543 seconds |
./spec/controllers/groups_controller_spec.rb[1:1:3]                 | passed | 0.12357 seconds |
./spec/controllers/groups_controller_spec.rb[1:1:4]                 | passed | 0.12128 seconds |
./spec/controllers/groups_controller_spec.rb[1:2:1]                 | passed | 0.14564 seconds |
./spec/controllers/groups_controller_spec.rb[1:2:2]                 | passed | 0.16088 seconds |
./spec/controllers/groups_controller_spec.rb[1:2:3]                 | passed | 0.13643 seconds |
./spec/controllers/groups_controller_spec.rb[1:2:4]                 | failed | 0.19829 seconds |
./spec/controllers/groups_controller_spec.rb[1:2:5]                 | passed | 0.11676 seconds |
./spec/controllers/groups_controller_spec.rb[1:2:6]                 | passed | 0.3981 seconds  |
./spec/controllers/sessions_controller_spec.rb[1:1:1]               | passed | 0.19707 seconds |
./spec/controllers/sessions_controller_spec.rb[1:1:2]               | passed | 0.35121 seconds |
./spec/controllers/sessions_controller_spec.rb[1:1:3]               | passed | 0.39113 seconds |
./spec/controllers/users_controller_spec.rb[1:1:1]                  | failed | 0.00138 seconds |
./spec/controllers/users_controller_spec.rb[1:1:2]                  | failed | 0.00127 seconds |
./spec/controllers/users_controller_spec.rb[1:1:3]                  | failed | 0.00136 seconds |
./spec/controllers/users_controller_spec.rb[1:1:4]                  | failed | 0.0014 seconds  |
./spec/controllers/users_controller_spec.rb[1:1:5]                  | failed | 0.0015 seconds  |
./spec/controllers/users_controller_spec.rb[1:1:6]                  | failed | 0.00174 seconds |
./spec/controllers/users_controller_spec.rb[1:1:7]                  | failed | 0.0014 seconds  |
./spec/controllers/users_controller_spec.rb[1:1:8]                  | failed | 0.00147 seconds |
./spec/controllers/users_controller_spec.rb[1:1:9]                  | failed | 0.01159 seconds |
./spec/controllers/users_controller_spec.rb[1:1:10]                 | failed | 0.00138 seconds |
./spec/controllers/users_controller_spec.rb[1:2:1]                  | passed | 0.17634 seconds |
./spec/controllers/users_controller_spec.rb[1:2:2]                  | passed | 0.4524 seconds  |
./spec/controllers/users_controller_spec.rb[1:2:3]                  | failed | 0.17377 seconds |
./spec/controllers/users_controller_spec.rb[1:2:4]                  | failed | 0.2936 seconds  |
./spec/controllers/users_controller_spec.rb[1:2:5]                  | passed | 0.40612 seconds |
./spec/controllers/users_controller_spec.rb[1:2:6]                  | passed | 0.2369 seconds  |
./spec/models/feed_spec.rb[1:1]                                     | passed | 0.11271 seconds |
./spec/models/feed_spec.rb[1:2]                                     | passed | 0.22709 seconds |
./spec/models/feed_spec.rb[1:3]                                     | passed | 0.11033 seconds |
./spec/models/feed_spec.rb[1:4]                                     | passed | 0.11038 seconds |
./spec/models/feed_spec.rb[1:5]                                     | failed | 0.19927 seconds |
./spec/models/follow_relationship_spec.rb[1:1]                      | passed | 0.11251 seconds |
./spec/models/follow_relationship_spec.rb[1:2]                      | passed | 0.21998 seconds |
./spec/models/follow_relationship_spec.rb[1:3]                      | passed | 0.12304 seconds |
./spec/models/reply_favorite_spec.rb[1:1]                           | passed | 0.22067 seconds |
./spec/models/reply_favorite_spec.rb[1:2]                           | passed | 0.12656 seconds |
./spec/models/reply_favorite_spec.rb[1:3]                           | passed | 0.12876 seconds |
./spec/models/user_spec.rb[1:1]                                     | passed | 0.12225 seconds |
./spec/models/user_spec.rb[1:2]                                     | passed | 0.12485 seconds |
./spec/models/user_spec.rb[1:3]                                     | passed | 0.12472 seconds |
./spec/models/user_spec.rb[1:4]                                     | passed | 0.18048 seconds |
